titulo;autor;isbn;paginas;ano
O Pequeno Príncipe;Antoine de Saint-Exupéry;9788535914847;96;1943
Dom Quixote;Miguel de Cervantes;9788525438947;0;1605
1984;George Orwell;9780141036144;328;1949
O Senhor dos Anéis;J.R.R. Tolkien;9780261102385;1216;1954
A Menina que Roubava Livros;Markus Zusak;9780307743657;552;2005
Capitães da Areia;Jorge Amado;9788525421222;272;
O Alquimista;Paulo Coelho;9780061122415;208;1988
Cem Anos de Solidão;Gabriel García Márquez;9780141184999;432;1967
A Revolução dos Bichos;George Orwell;9780141182704;112;1945
O Hobbit;J.R.R. Tolkien;9780261103344;310;1937
Matriarca;Tina Knowles;9798217288762;568;2025
